dataset,category,n_rows,n_features,n_clusters,cpu_avg_s,cpu_std_s,gpu_avg_s,gpu_std_s,speedup_ratio,silhouette_score,davies_bouldin_index,t_statistic,p_value,reject_H0
Iris,Kecil,150,4,3,0.012323,0.000494,0.005019,0.000179,2.455,0.4512,0.8831,41.6973,9.1515e-14,Ya
Seeds,Kecil,210,7,3,0.014275,0.000784,0.00548,0.000339,2.6049,0.4127,0.9214,30.8944,5.2979e-13,Ya
Wine UCI,Kecil,178,13,3,0.013591,0.000707,0.004976,0.000158,2.7314,0.4856,0.8102,35.651,8.7354e-12,Ya
Wine Quality,Sedang,5320,11,3,0.084936,0.00355,0.018853,0.000971,4.5052,0.2314,1.4523,53.8721,5.2490e-14,Ya
Adult,Sedang,48236,6,3,0.321299,0.008979,0.046834,0.000932,6.8603,0.1987,1.7841,91.2083,6.5330e-15,Ya
Dry Bean,Sedang,13611,16,7,0.179555,0.007403,0.034806,0.001574,5.1587,0.3652,1.1248,57.374,9.9484e-14,Ya
Covertype,Besar,581012,54,7,18.538808,0.609101,0.646776,0.014853,28.6634,0.1523,1.9341,88.0973,1.5364e-14,Ya
Poker Hand,Besar,500000,10,10,14.175078,0.39637,0.63063,0.012266,22.4776,0.1208,2.1045,102.4647,3.8645e-15,Ya
Sensorless,Besar,58509,48,11,2.836357,0.103453,0.17375,0.005669,16.3244,0.2841,1.4126,77.0963,4.5204e-14,Ya
HIGGS,Sangat Besar,1000000,28,7,51.761777,0.790803,1.219853,0.01309,42.4328,0.1954,1.8643,191.7102,1.4279e-17,Ya
SUSY,Sangat Besar,1000000,18,5,46.564561,1.21272,1.193085,0.011986,39.0287,0.2103,1.7512,112.2335,1.7868e-15,Ya
Airline Delay,Sangat Besar,1000000,5,5,40.92528,1.016959,1.213037,0.020637,33.7379,0.2387,1.6231,117.1259,1.1953e-15,Ya
